L; Esp;
M; Menu;
MW; Productos;
MOC; Clientes y Pedidos;
MWT; Exportar a un archivo;
LOAD; Cargar datos de un archivo;
MDM; Estadistica de ventas;
MQ; Terminar;
MOPT; Elige una opcion: ;
SM; Sub Menu;
SMA; Añadir un producto;
SMR; Eliminar un producto;
SMM; Modificar un producto;
SMC; Consultar un producto;
SVC; Ver lista de productos;
SMP; Volver;
SCA; Añadir cliente;
SCR; Eliminar cliente;
SCM; Modificar cliente;
SCC; Consultar cliente;
SCV; Ver lista de clientes;
RFM; Archivo cargado correctamente;
RDE; Error cargando archivo;
SFM; Datos guardados correctamente;
SFE; Error guardando datos;
APM; Producto añadido correctamente;
AEP; Error creando producto;
APE; El producto ya existe;
RPM; Producto eliminado correctamente;
RPE; No se ha encontrado el producto a eliminar;
MPM; Producto modificado correctamente;
MPE; No se ha encontrado el producto a modificar;
MPEE; Error modificando el producto;
CPE; No se ha encontrado el producto;
THN; Cliente añadido correctamente;
THF; El cliente ya existe;
THW; No se ha encontrado el cliente a eliminar;
THM; Cliente modificado correctamente;
THH; No se ha encontrado el cliente a eliminar;
THD; Cliente eliminado correctamente;
TPE; No se ha encontrado el cliente a modificar;
TPC; No se ha encontrado el cliente a consultar;
TCC; Consultar pedido;
ODA; Añadir pedido;
ODD; Eliminar pedido;
ODM; Modificar pedido;
ODV; Ver lista de pedidos;
AVO; Productos disponibles;
OSC; Pedido creado correctamente;
ONC; Añadir productos a un pedido;
MOD; Que quieres modificar?;
FOP; Nombre de producto;
SOP; Tipo de producto;
TOP; Precio del producto;
NNM; Introduce el nuevo nombre;
NPT; Introduce el nuevo tipo;
NPP; Introduce el nuevo precio;
EPN; Introduce el nombre del producto;
EPT; Introduce el tipo del producto;
EPP; Introduce el precio del producto;
CFT; Elige un tipo: ;
D; Bebida;
F; Comida;
EWI; Datos introducidos incorrectos;
ECN; Introduce el nombre del cliente: ;
ECT; Introduce el apellido del cliente: ;
COP; Nombre del cliente;
CSP; Apellido del cliente;
CPTA; Elige un numero de producto: ;
EAPO; Error al añadir el producto;
TOD; Introduce el dia: ;
TOM; Introduce el mes: ;
TOY; Introduce el año: ;
QUA; Introduce la cantidad: ; 
ONF; No se ha encontrado el pedido;
OSD; Pedido eliminado correctamente;
WDY; Que datos quieres guardar?;
AVP; Productos disponibles;
AVC; Clientes;
AVOP; Pedidos;
WDYL; Que datos quieres cargar?;
ORDA; Dia del pedido;
ORMO; Mes del pedido;
ORYE; Año del pedido;
ORQT; Cantidad de un producto;
OLMD; Pedido modificado correctamente;
SHOWP; Producto;
SHOWQ; Cantidad;
SHOWU; Precio unitario;
SHOWT; Precio total;
JAN; ENERO;
FEB; FEBRERO;
MAR; MARZO;
APR; ABRIL;
MAY; MAY0;
JUN; JUNIO;
JUL; JULIO;
AUG; AGOSTO;
SEP; SEPTIEMBRE;
OCT; OCTUBRE;
NOV; NOVIEMBRE;
DEC; DICIEMBRE;
ORN; Numero de pedidos;
